Equivalent Radiated Power (ERP)  - Order 1.0
EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 1.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 10.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 18.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 20.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 3.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 4.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 6.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 8.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 9.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W)
2520, 58.2718586, 2520, 50.8668251, 2520, 61.0959284, 2520, 52.344865, 2520, 49.844223, 2520, 45.5328277, 2520, 48.2844664, 2520, 44.7458616, 2520, 45.3526787
2560, 58.7274958, 2560, 51.3073698, 2560, 62.5445483, 2560, 52.6109229, 2560, 49.7802, 2560, 45.4660173, 2560, 48.2733793, 2560, 44.9713983, 2560, 45.3088642
2600, 59.2080062, 2600, 51.8459727, 2600, 61.8641958, 2600, 53.8209147, 2600, 49.7185925, 2600, 45.4011415, 2600, 48.274037, 2600, 45.2089634, 2600, 45.1089554
2640, 59.6760948, 2640, 52.4842705, 2640, 59.1684282, 2640, 53.8963913, 2640, 49.6590982, 2640, 45.338085, 2640, 48.2896365, 2640, 45.3999734, 2640, 44.8717269
2680, 60.088518, 2680, 53.1933277, 2680, 56.5962103, 2680, 52.4169415, 2680, 49.6014703, 2680, 45.2767454, 2680, 48.3240379, 2680, 45.5477173, 2680, 44.7521264
2720, 60.4025015, 2720, 53.8679368, 2720, 54.7621606, 2720, 51.4467264, 2720, 49.5455052, 2720, 45.2170301, 2720, 48.3810601, 2720, 45.6797621, 2720, 44.7963007
2760, 60.5852765, 2760, 54.3827525, 2760, 53.6916704, 2760, 51.193949, 2760, 49.4910347, 2760, 45.1588597, 2760, 48.4624206, 2760, 45.8113417, 2760, 44.9780178
2800, 60.6228581, 2800, 54.7973428, 2800, 53.4147379, 2800, 51.4784359, 2800, 49.4379161, 2800, 45.1021626, 2800, 48.5635955, 2800, 45.9305137, 2800, 45.2678899
2840, 60.522921, 2840, 55.3039918, 2840, 54.0701864, 2840, 52.1740749, 2840, 49.3860322, 2840, 45.0468769, 2840, 48.668878, 2840, 45.9949959, 2840, 45.6532417
2880, 60.3099174, 2880, 56.0048523, 2880, 55.5895583, 2880, 52.8410378, 2880, 49.3352789, 2880, 44.9929448, 2880, 48.7517339, 2880, 45.9478254, 2880, 46.1344115
