,EM Rotor Speed (rpm),ad003a,ad004a,ad005a,ad006a,ad007a,ad008a,ad009a,ad010a,ad011a,ad012a,ad013a,ad014a,ad015a,ad016a,ad017a,ad018a,ad019a,ad020a,ad021a,ad022a,ad023a,ad024a,ad025a,ad026a,ad027a,ad028a,ad029a,ad030a,ad031a,ad032a,ad033a,ad034a
30,1160,60.22390869255891,71.75108818590961,61.389612808770764,72.43441364329585,86.81840959340265,86.90072067211756,86.74747228465935,86.86539774177483,90.19064908304333,89.8581478531413,90.1076501996657,89.79146002667525,93.74493288957882,92.80897930934157,93.60837632690689,92.74971230524,66.26997124500798,72.49448872343488,67.23761694231251,73.08055007096937,86.45098239990874,86.8202265110893,86.34986119512568,86.80696204220828,89.9159443908465,89.8470822017627,89.8277695415284,89.80531355807923,93.53066316885823,92.82555146737666,93.4077204559365,92.78535871435976
31,1200,59.950244661287144,72.08768188889167,62.100048886568445,72.654050177589,86.5994559859038,86.63711217750851,86.53125698515545,86.6066263687184,89.97133154529456,89.63304273393649,89.88981123558946,89.56225946687965,93.52612893417503,92.6099933529624,93.39052389174013,92.55217548986481,66.16928587735208,72.81392417347855,67.19910991299605,73.20721234338319,86.22897887186058,86.55327985906996,86.13318687510869,86.53959877645275,89.69159380325459,89.62133775131642,89.60650524147873,89.58404131311244,93.30812585354776,92.62340588502973,93.18602207165748,92.5858541961675
32,1240,59.799344509147375,72.04984026873875,62.59454564356706,72.60251017671816,86.4606225588189,86.49534235247985,86.39453325057382,86.46294372568505,89.83566187576237,89.51046400117242,89.75747297934763,89.43476858336203,93.3889470636101,92.5048260945052,93.25479532326008,92.44375314831362,66.22661447365923,72.8284050715443,66.97483323655769,73.04950980159778,86.09067245927527,86.40210358424731,86.001946004425,86.38989912446257,89.55176739953104,89.49400368928855,89.46897648995596,89.43507899177948,93.16756885478681,92.51464430361258,93.04668189308737,92.47478859622706
33,1280,59.75583364049767,71.19577117224698,62.94387848313971,71.91509105717623,86.3950240818069,86.4059390861996,86.33776539161511,86.36027349893135,89.77479174270417,89.4851875523891,89.69822987852595,89.40687741557977,93.32683135333747,92.49401131617003,93.194839583593,92.43295446748503,66.45964732991179,72.34045941581826,67.05783979049987,72.57961502527282,86.02993648554472,86.31111195421539,85.94186139546709,86.26520982945779,89.48717537906562,89.46290102050718,89.40311310646506,89.40007784901877,93.10210756957008,92.50066546576409,92.9829176991541,92.46042707010174
34,1320,59.80812421110584,71.40125661391743,63.34803706766866,72.18507374477865,86.39895792759377,86.39804533962179,86.34946704210412,86.3600179452906,89.78390232604731,89.53865946843362,89.70557176234338,89.45619046001931,93.3355445208401,92.56739739499474,93.20619119977466,92.50736385375095,66.82206711590746,72.71400594621909,67.30867915675199,72.62441442853957,86.0379271542013,86.29378544471678,85.94546594787461,86.25316279126113,89.49258526876972,89.51302328677046,89.40659256267938,89.44701887788354,93.10747603355864,92.56963938143019,92.99045862160027,92.53043325943052
35,1360,59.96735609834311,71.91930510654745,63.72878728401295,72.45641875144494,86.47047037364594,86.4140854257312,86.42305581851514,86.38128114299859,89.85928820604188,89.64132798811076,89.77664014824312,89.55373741966275,93.41032775101584,92.69553931578967,93.28297467675286,92.63593969993018,67.12280414014964,72.93029194409152,67.53897767068285,73.02148674024751,86.11074797356159,86.32573730803458,86.01378472209383,86.27902453259496,89.56520445342863,89.61327427370469,89.478215631353,89.54681363123962,93.17985616325623,92.69279071863203,93.0648453682006,92.65393000457208
36,1400,60.013523980065706,72.0532933030172,63.654184129801635,72.43194549616499,86.6091356021989,86.53679357260418,86.55170163259214,86.50417194675506,89.99807646441468,89.7765635198735,89.91073549238868,89.69808168273069,93.54695327217249,92.84613568460274,93.41937575408375,92.78774060113997,67.22192613244921,73.22651140119687,67.67789654694393,73.04437900334267,86.24523978621033,86.4355245669026,86.14893948441247,86.4132346281488,89.70511906589661,89.74575739197853,89.61808787194394,89.6860680555708,93.31684823217044,92.84275911281442,93.20235496495403,92.80454008539728
37,1440,60.121661849656086,71.63098401868334,63.55495816867993,72.26299907812405,86.8188376151389,86.6981707952519,86.75628674177986,86.65396375973447,90.20355333699939,89.94658158651079,90.1097295624637,89.85962250902381,93.74870879594351,93.03257392877704,93.61901621032021,92.97551502826599,67.19335441795864,72.86957187604183,67.78681297809497,72.95066985356753,86.45387775669056,86.6272705708196,86.35952244117107,86.56958001035946,89.9169048396265,89.9171078628286,89.82465777433936,89.85276129679531,93.522465053227,93.0363380700574,93.40459874664212,92.99642153485408
38,1480,60.56788974476489,71.12919040665534,63.84939744409113,73.27054561100086,87.10725069918433,86.94280687285635,87.04592723785437,86.89085470220016,90.48586412743956,90.18932856956484,90.38396565030338,90.10404860820881,94.0265348288211,93.29001575127621,93.89349859746017,93.23659546358098,67.26827636128357,72.94336738780771,67.99462323676501,73.15437271100899,86.74444689564537,86.87473181967849,86.6544100502643,86.81371827326313,90.20819090995053,90.16547461742744,90.10699391530225,90.12561029834545,93.8065893701725,93.30247995672417,93.6831076157903,93.26305119368803
39,1520,61.39921186427969,71.92325596433427,64.10603143407371,74.22181493655256,87.48184775576583,87.28178120435615,87.42278055724324,87.22407908398218,90.85500655761552,90.51475157982118,90.74399629899169,90.41818604520643,94.39157857276469,93.63276964019144,94.25264017778443,93.57765787700737,67.42465800011506,72.73669293878683,68.39107461974254,73.34398839196106,87.12242552083603,87.23976411184503,87.03717033579036,87.24553793344631,90.58548366155625,90.49576302796865,90.47249418077496,90.48046739453162,94.17934499685134,93.65227993355354,94.04854141681818,93.60769217103851
